variant,seed,step,source_variant,slot,expert,count,fraction
R2P2_alpha_0,20260521,50,original,3,1,0,0.0
R2P2_alpha_0,20260521,50,original,3,2,320,1.0
R2P2_alpha_0,20260521,50,original,3,3,0,0.0
R2P2_alpha_0,20260521,1600,original,0,0,0,0.0
R2P2_alpha_0,20260521,1600,original,0,1,0,0.0
R2P2_alpha_0,20260521,1600,original,0,2,320,1.0
R2P2_alpha_0,20260521,1600,original,0,3,0,0.0
R2P2_alpha_0,20260521,1600,original,1,0,0,0.0
R2P2_alpha_0,20260521,1600,original,1,1,0,0.0
R2P2_alpha_0,20260521,1600,original,1,2,320,1.0
R2P2_alpha_0,20260521,1600,original,1,3,0,0.0
R2P2_alpha_0,20260521,1600,original,2,0,0,0.0
R2P2_alpha_0,20260521,1600,original,2,1,0,0.0
R2P2_alpha_0,20260521,1600,original,2,2,320,1.0
R2P2_alpha_0,20260521,1600,original,2,3,0,0.0
R2P2_alpha_0,20260521,1600,original,3,0,0,0.0
R2P2_alpha_0,20260521,1600,original,3,1,0,0.0
R2P2_alpha_0,20260521,1600,original,3,2,320,1.0
R2P2_alpha_0,20260521,1600,original,3,3,0,0.0
R2P2_alpha_0,20260522,0,original,0,0,0,0.0
R2P2_alpha_0,20260522,0,original,0,1,0,0.0
R2P2_alpha_0,20260522,0,original,0,2,0,0.0
R2P2_alpha_0,20260522,0,original,0,3,320,1.0
R2P2_alpha_0,20260522,0,original,1,0,0,0.0
R2P2_alpha_0,20260522,0,original,1,1,0,0.0
R2P2_alpha_0,20260522,0,original,1,2,0,0.0
R2P2_alpha_0,20260522,0,original,1,3,320,1.0
R2P2_alpha_0,20260522,0,original,2,0,0,0.0
R2P2_alpha_0,20260522,0,original,2,1,0,0.0
R2P2_alpha_0,20260522,0,original,2,2,0,0.0
R2P2_alpha_0,20260522,0,original,2,3,320,1.0
R2P2_alpha_0,20260522,0,original,3,0,0,0.0
R2P2_alpha_0,20260522,0,original,3,1,0,0.0
R2P2_alpha_0,20260522,0,original,3,2,0,0.0
R2P2_alpha_0,20260522,0,original,3,3,320,1.0
R2P2_alpha_0,20260522,1,original,0,0,0,0.0
R2P2_alpha_0,20260522,1,original,0,1,0,0.0
R2P2_alpha_0,20260522,1,original,0,2,0,0.0
R2P2_alpha_0,20260522,1,original,0,3,320,1.0
R2P2_alpha_0,20260522,1,original,1,0,0,0.0
R2P2_alpha_0,20260522,1,original,1,1,0,0.0
R2P2_alpha_0,20260522,1,original,1,2,0,0.0
R2P2_alpha_0,20260522,1,original,1,3,320,1.0
R2P2_alpha_0,20260522,1,original,2,0,0,0.0
R2P2_alpha_0,20260522,1,original,2,1,0,0.0
R2P2_alpha_0,20260522,1,original,2,2,0,0.0
R2P2_alpha_0,20260522,1,original,2,3,320,1.0
R2P2_alpha_0,20260522,1,original,3,0,0,0.0
R2P2_alpha_0,20260522,1,original,3,1,0,0.0
R2P2_alpha_0,20260522,1,original,3,2,0,0.0
R2P2_alpha_0,20260522,1,original,3,3,320,1.0
R2P2_alpha_0,20260522,2,original,0,0,0,0.0
R2P2_alpha_0,20260522,2,original,0,1,0,0.0
R2P2_alpha_0,20260522,2,original,0,2,0,0.0
R2P2_alpha_0,20260522,2,original,0,3,320,1.0
R2P2_alpha_0,20260522,2,original,1,0,0,0.0
R2P2_alpha_0,20260522,2,original,1,1,0,0.0
R2P2_alpha_0,20260522,2,original,1,2,0,0.0
R2P2_alpha_0,20260522,2,original,1,3,320,1.0
R2P2_alpha_0,20260522,2,original,2,0,0,0.0
R2P2_alpha_0,20260522,2,original,2,1,0,0.0
R2P2_alpha_0,20260522,2,original,2,2,0,0.0
R2P2_alpha_0,20260522,2,original,2,3,320,1.0
R2P2_alpha_0,20260522,2,original,3,0,0,0.0
R2P2_alpha_0,20260522,2,original,3,1,0,0.0
R2P2_alpha_0,20260522,2,original,3,2,0,0.0
R2P2_alpha_0,20260522,2,original,3,3,320,1.0
R2P2_alpha_0,20260522,5,original,0,0,0,0.0
R2P2_alpha_0,20260522,5,original,0,1,0,0.0
R2P2_alpha_0,20260522,5,original,0,2,0,0.0
R2P2_alpha_0,20260522,5,original,0,3,320,1.0
R2P2_alpha_0,20260522,5,original,1,0,0,0.0
R2P2_alpha_0,20260522,5,original,1,1,0,0.0
R2P2_alpha_0,20260522,5,original,1,2,0,0.0
R2P2_alpha_0,20260522,5,original,1,3,320,1.0
R2P2_alpha_0,20260522,5,original,2,0,0,0.0
R2P2_alpha_0,20260522,5,original,2,1,0,0.0
R2P2_alpha_0,20260522,5,original,2,2,0,0.0
R2P2_alpha_0,20260522,5,original,2,3,320,1.0
R2P2_alpha_0,20260522,5,original,3,0,0,0.0
R2P2_alpha_0,20260522,5,original,3,1,0,0.0
R2P2_alpha_0,20260522,5,original,3,2,0,0.0
R2P2_alpha_0,20260522,5,original,3,3,320,1.0
R2P2_alpha_0,20260522,10,original,0,0,0,0.0
R2P2_alpha_0,20260522,10,original,0,1,0,0.0
R2P2_alpha_0,20260522,10,original,0,2,0,0.0
R2P2_alpha_0,20260522,10,original,0,3,320,1.0
R2P2_alpha_0,20260522,10,original,1,0,0,0.0
R2P2_alpha_0,20260522,10,original,1,1,0,0.0
R2P2_alpha_0,20260522,10,original,1,2,0,0.0
R2P2_alpha_0,20260522,10,original,1,3,320,1.0
R2P2_alpha_0,20260522,10,original,2,0,0,0.0
R2P2_alpha_0,20260522,10,original,2,1,0,0.0
R2P2_alpha_0,20260522,10,original,2,2,0,0.0
R2P2_alpha_0,20260522,10,original,2,3,320,1.0
R2P2_alpha_0,20260522,10,original,3,0,0,0.0
R2P2_alpha_0,20260522,10,original,3,1,0,0.0
R2P2_alpha_0,20260522,10,original,3,2,0,0.0
R2P2_alpha_0,20260522,10,original,3,3,320,1.0
R2P2_alpha_0,20260522,20,original,0,0,0,0.0
R2P2_alpha_0,20260522,20,original,0,1,0,0.0
R2P2_alpha_0,20260522,20,original,0,2,0,0.0
R2P2_alpha_0,20260522,20,original,0,3,320,1.0
R2P2_alpha_0,20260522,20,original,1,0,0,0.0
R2P2_alpha_0,20260522,20,original,1,1,0,0.0
R2P2_alpha_0,20260522,20,original,1,2,0,0.0
R2P2_alpha_0,20260522,20,original,1,3,320,1.0
R2P2_alpha_0,20260522,20,original,2,0,0,0.0
R2P2_alpha_0,20260522,20,original,2,1,0,0.0
R2P2_alpha_0,20260522,20,original,2,2,0,0.0
R2P2_alpha_0,20260522,20,original,2,3,320,1.0
R2P2_alpha_0,20260522,20,original,3,0,0,0.0
R2P2_alpha_0,20260522,20,original,3,1,0,0.0
R2P2_alpha_0,20260522,20,original,3,2,0,0.0
R2P2_alpha_0,20260522,20,original,3,3,320,1.0
R2P2_alpha_0,20260522,50,original,0,0,0,0.0
R2P2_alpha_0,20260522,50,original,0,1,0,0.0
R2P2_alpha_0,20260522,50,original,0,2,0,0.0
R2P2_alpha_0,20260522,50,original,0,3,320,1.0
R2P2_alpha_0,20260522,50,original,1,0,0,0.0
R2P2_alpha_0,20260522,50,original,1,1,0,0.0
R2P2_alpha_0,20260522,50,original,1,2,0,0.0
R2P2_alpha_0,20260522,50,original,1,3,320,1.0
R2P2_alpha_0,20260522,50,original,2,0,0,0.0
R2P2_alpha_0,20260522,50,original,2,1,0,0.0
R2P2_alpha_0,20260522,50,original,2,2,0,0.0
R2P2_alpha_0,20260522,50,original,2,3,320,1.0
R2P2_alpha_0,20260522,50,original,3,0,0,0.0
R2P2_alpha_0,20260522,50,original,3,1,0,0.0
R2P2_alpha_0,20260522,50,original,3,2,0,0.0
R2P2_alpha_0,20260522,50,original,3,3,320,1.0
R2P2_alpha_0,20260522,1600,original,0,0,0,0.0
R2P2_alpha_0,20260522,1600,original,0,1,0,0.0
R2P2_alpha_0,20260522,1600,original,0,2,0,0.0
R2P2_alpha_0,20260522,1600,original,0,3,320,1.0
R2P2_alpha_0,20260522,1600,original,1,0,0,0.0
R2P2_alpha_0,20260522,1600,original,1,1,0,0.0
R2P2_alpha_0,20260522,1600,original,1,2,0,0.0
R2P2_alpha_0,20260522,1600,original,1,3,320,1.0
R2P2_alpha_0,20260522,1600,original,2,0,0,0.0
R2P2_alpha_0,20260522,1600,original,2,1,0,0.0
R2P2_alpha_0,20260522,1600,original,2,2,0,0.0
R2P2_alpha_0,20260522,1600,original,2,3,320,1.0
R2P2_alpha_0,20260522,1600,original,3,0,0,0.0
R2P2_alpha_0,20260522,1600,original,3,1,0,0.0
R2P2_alpha_0,20260522,1600,original,3,2,0,0.0
R2P2_alpha_0,20260522,1600,original,3,3,320,1.0
R2P2_alpha_0,20260523,0,original,0,0,0,0.0
R2P2_alpha_0,20260523,0,original,0,1,0,0.0
R2P2_alpha_0,20260523,0,original,0,2,320,1.0
R2P2_alpha_0,20260523,0,original,0,3,0,0.0
R2P2_alpha_0,20260523,0,original,1,0,0,0.0
R2P2_alpha_0,20260523,0,original,1,1,0,0.0
R2P2_alpha_0,20260523,0,original,1,2,320,1.0
R2P2_alpha_0,20260523,0,original,1,3,0,0.0
R2P2_alpha_0,20260523,0,original,2,0,0,0.0
R2P2_alpha_0,20260523,0,original,2,1,0,0.0
R2P2_alpha_0,20260523,0,original,2,2,320,1.0
R2P2_alpha_0,20260523,0,original,2,3,0,0.0
R2P2_alpha_0,20260523,0,original,3,0,0,0.0
R2P2_alpha_0,20260523,0,original,3,1,0,0.0
R2P2_alpha_0,20260523,0,original,3,2,320,1.0
R2P2_alpha_0,20260523,0,original,3,3,0,0.0
R2P2_alpha_0,20260523,1,original,0,0,0,0.0
R2P2_alpha_0,20260523,1,original,0,1,0,0.0
R2P2_alpha_0,20260523,1,original,0,2,320,1.0
R2P2_alpha_0,20260523,1,original,0,3,0,0.0
R2P2_alpha_0,20260523,1,original,1,0,0,0.0
R2P2_alpha_0,20260523,1,original,1,1,0,0.0
R2P2_alpha_0,20260523,1,original,1,2,320,1.0
R2P2_alpha_0,20260523,1,original,1,3,0,0.0
R2P2_alpha_0,20260523,1,original,2,0,0,0.0
R2P2_alpha_0,20260523,1,original,2,1,0,0.0
R2P2_alpha_0,20260523,1,original,2,2,320,1.0
R2P2_alpha_0,20260523,1,original,2,3,0,0.0
R2P2_alpha_0,20260523,1,original,3,0,0,0.0
R2P2_alpha_0,20260523,1,original,3,1,0,0.0
R2P2_alpha_0,20260523,1,original,3,2,320,1.0
R2P2_alpha_0,20260523,1,original,3,3,0,0.0
R2P2_alpha_0,20260523,2,original,0,0,0,0.0
R2P2_alpha_0,20260523,2,original,0,1,0,0.0
R2P2_alpha_0,20260523,2,original,0,2,320,1.0
R2P2_alpha_0,20260523,2,original,0,3,0,0.0
R2P2_alpha_0,20260523,2,original,1,0,0,0.0
R2P2_alpha_0,20260523,2,original,1,1,0,0.0
R2P2_alpha_0,20260523,2,original,1,2,320,1.0
R2P2_alpha_0,20260523,2,original,1,3,0,0.0
R2P2_alpha_0,20260523,2,original,2,0,0,0.0
R2P2_alpha_0,20260523,2,original,2,1,96,0.3
R2P2_alpha_0,20260523,2,original,2,2,224,0.7
R2P2_alpha_0,20260523,2,original,2,3,0,0.0
R2P2_alpha_0,20260523,2,original,3,0,0,0.0
R2P2_alpha_0,20260523,2,original,3,1,0,0.0
R2P2_alpha_0,20260523,2,original,3,2,320,1.0
R2P2_alpha_0,20260523,2,original,3,3,0,0.0
R2P2_alpha_0,20260523,5,original,0,0,0,0.0
R2P2_alpha_0,20260523,5,original,0,1,0,0.0
R2P2_alpha_0,20260523,5,original,0,2,320,1.0
R2P2_alpha_0,20260523,5,original,0,3,0,0.0
R2P2_alpha_0,20260523,5,original,1,0,0,0.0
R2P2_alpha_0,20260523,5,original,1,1,0,0.0
R2P2_alpha_0,20260523,5,original,1,2,320,1.0
R2P2_alpha_0,20260523,5,original,1,3,0,0.0
R2P2_alpha_0,20260523,5,original,2,0,0,0.0
R2P2_alpha_0,20260523,5,original,2,1,0,0.0
R2P2_alpha_0,20260523,5,original,2,2,320,1.0
R2P2_alpha_0,20260523,5,original,2,3,0,0.0
R2P2_alpha_0,20260523,5,original,3,0,0,0.0
R2P2_alpha_0,20260523,5,original,3,1,0,0.0
R2P2_alpha_0,20260523,5,original,3,2,320,1.0
R2P2_alpha_0,20260523,5,original,3,3,0,0.0
R2P2_alpha_0,20260523,10,original,0,0,0,0.0
R2P2_alpha_0,20260523,10,original,0,1,0,0.0
R2P2_alpha_0,20260523,10,original,0,2,320,1.0
R2P2_alpha_0,20260523,10,original,0,3,0,0.0
R2P2_alpha_0,20260523,10,original,1,0,0,0.0
R2P2_alpha_0,20260523,10,original,1,1,0,0.0
R2P2_alpha_0,20260523,10,original,1,2,320,1.0
R2P2_alpha_0,20260523,10,original,1,3,0,0.0
R2P2_alpha_0,20260523,10,original,2,0,0,0.0
