role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
coarse,F3,3,2.302870825347629e-21,3.1289671288082562e-18,0.008848773315548897,0.0056252058828005075,0.059467916510405505,1.5227823861824725,0,design,1e-06
coarse,F4,4,1.0625726677031429e-21,2.0196369870543577e-18,0.009011265821754932,0.002595538557992919,0.0383844248863106,1.5507456662342283,0,design,1e-06
coarse,F5,5,5.038711833410577e-22,1.2451373348312218e-18,0.007439764216542244,0.0012308024894431098,0.023664589630870956,1.280306490210775,0,design,1e-06
coarse,F6,6,2.760419944872815e-22,8.92295463926929e-19,0.0062994943000376225,0.0006742857802523248,0.01695861604389257,1.084077828629417,0,design,1e-06
coarse,F7,7,1.8906986511649874e-22,7.618920696048215e-19,0.005741214379668236,0.0004618395898749893,0.014480220507288071,0.9880036272704549,0,design,1e-06
coarse,F8,8,1.1533261292478993e-22,5.8501833396212995e-19,0.004951843526214361,0.00028172213810791896,0.01111862797177004,0.8521610659412835,0,design,1e-06
coarse,F9,9,4.632211430296955e-23,3.0566156522828134e-19,0.002105283783748746,0.0001131506930448378,0.00580928328523492,0.3622975693336897,0,design,1e-06
coarse,F10,10,2.741513157785202e-23,2.369858959705969e-19,0.00236743432469666,6.696674330667399e-05,0.004504060571927704,0.40741096664292203,0,design,1e-06
coarse,F11,11,7.562794509996641e-24,9.047968875691406e-20,0.0009434223175048828,1.8473583363766196e-05,0.0017196213176368486,0.16235322531129484,0,design,1e-06
coarse,F12,12,1.2289540980136928e-23,1.766908530596303e-19,0.0021247598342597485,3.0019572725251964e-05,0.0033581167411958195,0.3656491962330296,0,design,1e-06
coarse,F13,13,1.6070939418426607e-23,3.8220831362302397e-19,0.0037315881345421076,3.925636729755229e-05,0.0072641006276003344,0.642167731179556,0,design,1e-06
coarse,F14,14,9.453493137495801e-25,3.3228752610552745e-20,0.0005616272683255374,2.3091979204707745e-06,0.0006315325807663229,0.09665024532870573,0,design,1e-06
coarse,F15,15,3.7813972549983205e-24,2.611706512466238e-19,0.006609808187931776,9.236791681883098e-06,0.00496370650247704,1.1374796399112903,0,design,1e-06
coarse,F16,16,9.453493137495801e-25,8.366012277808079e-20,0.00519176060333848,2.3091979204707745e-06,0.0015900113333923288,0.8934483140332895,0,design,1e-06
fine,F1,1,3.744206242069433e-17,4.874959655418003e-15,9585167979697748.0,15.966260561431566,15.669049982367259,15.966261658578185,0,design,1e-06
fine,F2,2,5.180514561676265e-20,4.158641772349452e-17,13262117277891.236,0.022091049473892694,0.13366667705092344,0.022091050991913778,0,design,1e-06
fine,F3,3,1.4086649956056513e-20,1.8711546374628928e-17,3606182388750.467,0.006006910653291573,0.06014247832094188,0.006006911066065852,0,design,1e-06
fine,F4,4,5.880072757160368e-21,1.1024694965386468e-17,1505298625833.054,0.0025074145944778002,0.03543547201688198,0.0025074147667787238,0,design,1e-06
fine,F5,5,3.115871429626481e-21,7.743547980494588e-18,797663085984.3792,0.0013286878955108086,0.024889239896042786,0.0013286879868136797,0,design,1e-06
fine,F6,6,1.5617170974743121e-21,5.049591468471602e-18,399799576953.4239,0.0006659564267949077,0.016230349931630868,0.0006659564725571473,0,design,1e-06
fine,F7,7,1.2970192004831474e-21,5.13811775971865e-18,332036915323.6857,0.0005530824203916692,0.016514890313572686,0.0005530824583975945,0,design,1e-06
fine,F8,8,5.133246399937366e-22,2.5956992212762324e-18,131411107838.39656,0.00021889485847908773,0.008343072294386328,0.000218894873520791,0,design,1e-06
fine,F9,9,3.5664777653921553e-22,2.3288167594821083e-18,91301830794.03917,0.00015208380523753048,0.007485261167965675,0.0001520838156882075,0,design,1e-06
fine,F10,10,1.8906986511649874e-22,1.611294150713419e-18,48401885469.82368,8.062426414567042e-05,0.00517900667255055,8.06242696858931e-05,0,design,1e-06
fine,F11,11,1.0806523499088498e-22,1.2084764190649828e-18,27664700157.666553,4.60818018011521e-05,0.0038842736661002745,4.608180496773533e-05,0,design,1e-06
fine,F12,12,7.474168038333414e-23,1.1190028445906689e-18,19133870178.133537,3.1871779134153306e-05,0.003596688535220074,3.187178132427256e-05,0,design,1e-06
fine,F13,13,7.355999199086203e-23,1.7470216490205454e-18,18831357949.66068,3.136787674318349e-05,0.0056152607352056945,3.1367878898676304e-05,0,design,1e-06
fine,F14,14,2.841956292492097e-23,1.04865617002475e-18,7275408108.779767,1.2118834203174054e-05,0.003370580908125836,1.211883503593874e-05,0,design,1e-06
fine,F15,15,2.2688382741129018e-23,1.5370004256124473e-18,5808225981.729028,9.6749112399892e-06,0.004940212472338125,9.67491190481589e-06,0,design,1e-06
fine,F16,16,5.908432890460133e-24,5.153874819489999e-19,1512558819.957794,2.5195080863568885e-06,0.0016565536508533092,2.519508259488835e-06,0,design,1e-06
coarse,F1,1,2.4581013349234127e-05,0.00019232659512769318,0.47869405150413513,1.612365174438028,0.04551226007612127,0.9157661183481437,1,confirmation,1e-06
